Distance,Diameter,Radius,FFR,text
6.10918,3.54433,1.772165,,6.10918 1.772165 0
6.11672,3.54228,1.77114,,6.11672 1.77114 0
6.2431,3.50957,1.754785,,6.2431 1.754785 0
6.28094,3.50049,1.750245,,6.28094 1.750245 0
6.31241,3.4901,1.74505,,6.31241 1.74505 0
6.34023,3.48124,1.74062,,6.34023 1.74062 0
6.36043,3.47466,1.73733,,6.36043 1.73733 0
6.41244,3.45464,1.72732,,6.41244 1.72732 0
6.41994,3.45151,1.725755,,6.41994 1.725755 0
6.48502,3.42131,1.710655,,6.48502 1.710655 0
6.49053,3.41875,1.709375,,6.49053 1.709375 0
6.60804,3.35796,1.67898,,6.60804 1.67898 0
6.70679,3.3135,1.65675,,6.70679 1.65675 0
6.71368,3.31039,1.655195,,6.71368 1.655195 0
6.79104,3.27565,1.637825,,6.79104 1.637825 0
6.88795,3.2273,1.61365,,6.88795 1.61365 0
6.90584,3.21863,1.609315,,6.90584 1.609315 0
6.98694,3.18227,1.591135,,6.98694 1.591135 0
7.05005,3.15183,1.575915,,7.05005 1.575915 0
7.14141,3.11052,1.55526,,7.14141 1.55526 0
7.14736,3.10788,1.55394,,7.14736 1.55394 0
7.20033,3.08371,1.541855,,7.20033 1.541855 0
7.22163,3.0737,1.53685,,7.22163 1.53685 0
7.30574,3.02659,1.513295,,7.30574 1.513295 0
7.427,2.96689,1.483445,,7.427 1.483445 0
7.45054,2.95568,1.47784,,7.45054 1.47784 0
7.48393,2.94124,1.47062,,7.48393 1.47062 0
7.53525,2.91909,1.459545,,7.53525 1.459545 0
7.58223,2.89774,1.44887,,7.58223 1.44887 0
7.61176,2.88401,1.442005,,7.61176 1.442005 0
7.64122,2.86952,1.43476,,7.64122 1.43476 0
7.68266,2.84589,1.422945,,7.68266 1.422945 0
7.71647,2.82782,1.41391,,7.71647 1.41391 0
7.75159,2.80932,1.40466,,7.75159 1.40466 0
7.77934,2.79445,1.397225,,7.77934 1.397225 0
