Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
2.96507,1.566,4.67949,-18.9081,-14.3763,
2.97319,1.56433,4.67185,-18.9086,-14.3736,
2.97818,1.56307,4.66711,-18.9089,-14.3721,
3.01673,1.55298,4.63065,-18.9122,-14.36,
3.04744,1.54515,4.60124,-18.9161,-14.3521,
3.11268,1.53005,4.53861,-18.9244,-14.3358,
3.11273,1.53004,4.53856,-18.9244,-14.3358,
3.11879,1.52868,4.53271,-18.9248,-14.3342,
3.17036,1.51722,4.4836,-18.9281,-14.3188,
3.19452,1.51106,4.46044,-18.9312,-14.3127,
3.19453,1.51106,4.46043,-18.9312,-14.3127,
3.19662,1.51049,4.45845,-18.9314,-14.3121,
3.23218,1.49945,4.42422,-18.9356,-14.3034,
3.26113,1.49096,4.39663,-18.9398,-14.2957,
3.31336,1.47289,4.3469,-18.9453,-14.2807,
3.32059,1.47056,4.34005,-18.9468,-14.2789,
3.33908,1.46381,4.32238,-18.9492,-14.274,
3.37104,1.45198,4.29227,-18.9529,-14.264,
3.38828,1.44573,4.27584,-18.9551,-14.2593,
3.38925,1.44538,4.27492,-18.9553,-14.259,
3.40888,1.43784,4.2563,-18.9585,-14.2537,
3.40984,1.43742,4.2554,-18.9587,-14.2534,
3.45388,1.41764,4.21389,-18.963,-14.2393,
3.46787,1.41087,4.20081,-18.9639,-14.2344,
3.51571,1.38826,4.15665,-18.9678,-14.2165,
3.52705,1.38337,4.14605,-18.9695,-14.2128,
3.53169,1.38142,4.1417,-18.9705,-14.2115,
3.56074,1.36955,4.11424,-18.9748,-14.2031,
3.5609,1.36948,4.1141,-18.9748,-14.203,
3.60804,1.34901,4.06997,-18.9774,-14.1866,
3.60993,1.34827,4.06819,-18.9779,-14.1862,
3.67824,1.32015,4.00388,-18.9836,-14.1639,
3.70439,1.31013,3.97925,-18.984,-14.1551,
3.73917,1.29756,3.94639,-18.9875,-14.1443,
3.78722,1.28103,3.90101,-18.993,-14.1295,
3.82261,1.26973,3.86839,-18.995,-14.1159,
3.82586,1.26862,3.86536,-18.995,-14.1148,
3.8298,1.26741,3.86165,-18.9957,-14.1136,
3.87618,1.25276,3.81861,-19.0001,-14.0969,
3.88547,1.25016,3.8099,-19.0009,-14.0937,
3.91129,1.24348,3.78555,-19.0032,-14.0855,
3.96212,1.23215,3.73718,-19.0044,-14.0699,
3.98597,1.22784,3.71462,-19.0067,-14.0625,
4.00907,1.22435,3.69297,-19.0089,-14.0548,
4.01826,1.22288,3.68444,-19.01,-14.0515,
4.04281,1.21895,3.66132,-19.0147,-14.0448,
4.05213,1.21737,3.65245,-19.016,-14.0422,
4.06267,1.21537,3.64253,-19.0184,-14.0395,
4.06476,1.21498,3.64056,-19.0188,-14.0389,
